timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T04:29:00.000Z";"2023-08-31T21:10:00.000Z";0.149604267;0.150534107;0.1313551923;0.1323542063;159102367.62;238237571.37;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T10:17:00.000Z";"2023-08-30T06:56:00.000Z";0.1470815004;0.1715127449;0.1443045527;0.1495792457;405062363.05;269242642.32;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T22:07:00.000Z";"2023-08-29T08:11:00.000Z";0.1288483;0.153230281;0.1189735041;0.1471159193;235628144.56;264808654.68;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T00:02:00.000Z";"2023-08-28T08:20:00.000Z";0.1318302948;0.1318623626;0.1258138743;0.1288705265;57360373.76;231966947.69;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T14:21:00.000Z";"2023-08-27T03:01:00.000Z";0.1326294371;0.1347719395;0.1279641973;0.1318875261;58805985.38;237397547.01;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T00:05:00.000Z";"2023-08-26T18:46:00.000Z";0.139182187;0.1396207624;0.1320909626;0.1326838989;51145303.77;238831017.94;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T00:02:00.000Z";"2023-08-25T08:02:00.000Z";0.1477802591;0.147974195;0.1369933013;0.1391747284;76796276.75;250514511.17;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T00:00:00.000Z";"2023-08-24T18:44:00.000Z";0.1527549094;0.1527549094;0.1457956118;0.1477540048;58997488.81;265957208.73;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T00:10:00.000Z";"2023-08-23T13:10:00.000Z";0.1544943887;0.156022956;0.1464446396;0.1527369065;105054400.75;274926431.74;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T23:49:00.000Z";"2023-08-22T16:28:00.000Z";0.1487705159;0.1555542944;0.1439979233;0.1544958077;139783459.97;278092453.83;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T00:17:00.000Z";"2023-08-21T16:05:00.000Z";0.1513241161;0.1546088154;0.1427454805;0.1487684693;92047819.97;267783244.81;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T00:10:00.000Z";"2023-08-20T16:59:00.000Z";0.160377016;0.1607050074;0.1482912157;0.151226761;113217488.38;272208169.83;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T00:10:00.000Z";"2023-08-19T15:17:00.000Z";0.1665461303;0.1695266415;0.155761625;0.160358766;146917907.79;288645778.77;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T00:10:00.000Z";"2023-08-18T03:16:00.000Z";0.1727218621;0.1763175111;0.1495539457;0.1665864413;371251282.17;299855594.42;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T00:01:00.000Z";"2023-08-17T21:46:00.000Z";0.2140999847;0.2142432139;0.1603243298;0.1727454091;567781413.41;310941736.31;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T10:57:00.000Z";"2023-08-16T00:13:00.000Z";0.1776089963;0.2735580491;0.1732137325;0.2144370024;1894306566.54;385986604.35;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T12:10:00.000Z";"2023-08-15T12:00:00.000Z";0.00798904144853;0.2086168597;0.00798904144853;0.1776377147;247580628.09;319747886.5;"2023-08-15T23:59:59.999Z"
